FASTQ_FILE,MD5,RUN_ID,STUDY_ID,STUDY_NAME,CENTER_NAME,SUBMISSION_ID,SUBMISSION_DATE,SAMPLE_ID,SAMPLE_NAME,POPULATION,EXPERIMENT_ID,INSTRUMENT_PLATFORM,INSTRUMENT_MODEL,LIBRARY_NAME,RUN_NAME,RUN_BLOCK_NAME,INSERT_SIZE,LIBRARY_LAYOUT,PAIRED_FASTQ,WITHDRAWN,WITHDRAWN_DATE,COMMENT,READ_COUNT,BASE_COUNT,ANALYSIS_GROUP
data/NA18486/sequence_read/SRR011037.filt.fastq.gz,0f19ffbc65d5e7609fbe2bbcd314c778,SRR011037,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX002288,ILLUMINA,Illumina Genome Analyzer II,Solexa-5072,BI.PE.080721_SL-XAS_0005_FC3041JAAXX.080726_SL-XAS_0001_FC3041JAAXX.1.srf,,314,PAIRED,,0,,,2246224,170713024,low coverage
data/NA18486/sequence_read/SRR011037_1.filt.fastq.gz,6a8ced96aa40e4ec456fd40f7a28d8fe,SRR011037,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX002288,ILLUMINA,Illumina Genome Analyzer II,Solexa-5072,BI.PE.080721_SL-XAS_0005_FC3041JAAXX.080726_SL-XAS_0001_FC3041JAAXX.1.srf,,314,PAIRED,data/NA18486/sequence_read/SRR011037_2.filt.fastq.gz,0,,,11135499,846297924,low coverage
data/NA18486/sequence_read/SRR011037_2.filt.fastq.gz,9d46f3e30dbd2ed34cef0c3f8ed1df61,SRR011037,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX002288,ILLUMINA,Illumina Genome Analyzer II,Solexa-5072,BI.PE.080721_SL-XAS_0005_FC3041JAAXX.080726_SL-XAS_0001_FC3041JAAXX.1.srf,,314,PAIRED,data/NA18486/sequence_read/SRR011037_1.filt.fastq.gz,0,,,11135499,846297924,low coverage
data/NA18486/sequence_read/SRR011038.filt.fastq.gz,54e66a507525debf483a2b70cdd698a9,SRR011038,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX002288,ILLUMINA,Illumina Genome Analyzer II,Solexa-5072,BI.PE.080721_SL-XAS_0005_FC3041JAAXX.080726_SL-XAS_0001_FC3041JAAXX.2.srf,,314,PAIRED,,0,,,1343636,102116336,low coverage
data/NA18486/sequence_read/SRR011038_1.filt.fastq.gz,29ed99e3cc090e7bcf6a7bb2f71c8de5,SRR011038,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX002288,ILLUMINA,Illumina Genome Analyzer II,Solexa-5072,BI.PE.080721_SL-XAS_0005_FC3041JAAXX.080726_SL-XAS_0001_FC3041JAAXX.2.srf,,314,PAIRED,data/NA18486/sequence_read/SRR011038_2.filt.fastq.gz,0,,,12120574,921163624,low coverage
data/NA18486/sequence_read/SRR011038_2.filt.fastq.gz,15a9cdc3ece72f129f74888885aeb058,SRR011038,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX002288,ILLUMINA,Illumina Genome Analyzer II,Solexa-5072,BI.PE.080721_SL-XAS_0005_FC3041JAAXX.080726_SL-XAS_0001_FC3041JAAXX.2.srf,,314,PAIRED,data/NA18486/sequence_read/SRR011038_1.filt.fastq.gz,0,,,12120574,921163624,low coverage
data/NA18486/sequence_read/SRR011039.filt.fastq.gz,d406de1432121b00be596e8a0a0eea42,SRR011039,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX002288,ILLUMINA,Illumina Genome Analyzer II,Solexa-5072,BI.PE.080721_SL-XAS_0005_FC3041JAAXX.080726_SL-XAS_0001_FC3041JAAXX.3.srf,,314,PAIRED,,0,,,1038153,78899628,low coverage
data/NA18486/sequence_read/SRR011039_1.filt.fastq.gz,9fe2b39e904c785198d5b86f0e6574fb,SRR011039,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX002288,ILLUMINA,Illumina Genome Analyzer II,Solexa-5072,BI.PE.080721_SL-XAS_0005_FC3041JAAXX.080726_SL-XAS_0001_FC3041JAAXX.3.srf,,314,PAIRED,data/NA18486/sequence_read/SRR011039_2.filt.fastq.gz,0,,,10643697,808920972,low coverage
data/NA18486/sequence_read/SRR011039_2.filt.fastq.gz,cdd4f2dd4e50ac6ad55c8aa97dd5909d,SRR011039,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX002288,ILLUMINA,Illumina Genome Analyzer II,Solexa-5072,BI.PE.080721_SL-XAS_0005_FC3041JAAXX.080726_SL-XAS_0001_FC3041JAAXX.3.srf,,314,PAIRED,data/NA18486/sequence_read/SRR011039_1.filt.fastq.gz,0,,,10643697,808920972,low coverage
data/NA18486/sequence_read/SRR011040.filt.fastq.gz,33ec0420a2fe66fd77fed717b6fe5c8c,SRR011040,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX002288,ILLUMINA,Illumina Genome Analyzer II,Solexa-5072,BI.PE.080721_SL-XAS_0005_FC3041JAAXX.080726_SL-XAS_0001_FC3041JAAXX.5.srf,,314,PAIRED,,0,,,1526068,115981168,low coverage
data/NA18486/sequence_read/SRR011040_1.filt.fastq.gz,bd6f10b6548d7fa82881d3d0a8404f30,SRR011040,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX002288,ILLUMINA,Illumina Genome Analyzer II,Solexa-5072,BI.PE.080721_SL-XAS_0005_FC3041JAAXX.080726_SL-XAS_0001_FC3041JAAXX.5.srf,,314,PAIRED,data/NA18486/sequence_read/SRR011040_2.filt.fastq.gz,0,,,11709012,889884912,low coverage
data/NA18486/sequence_read/SRR011040_2.filt.fastq.gz,7f303202f388fb4a2b1d89c769f204b2,SRR011040,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX002288,ILLUMINA,Illumina Genome Analyzer II,Solexa-5072,BI.PE.080721_SL-XAS_0005_FC3041JAAXX.080726_SL-XAS_0001_FC3041JAAXX.5.srf,,314,PAIRED,data/NA18486/sequence_read/SRR011040_1.filt.fastq.gz,0,,,11709012,889884912,low coverage
data/NA18486/sequence_read/SRR011041.filt.fastq.gz,ed8ddddca95fdf2cc17bb8c0befca507,SRR011041,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX002288,ILLUMINA,Illumina Genome Analyzer II,Solexa-5072,BI.PE.080721_SL-XAS_0005_FC3041JAAXX.080726_SL-XAS_0001_FC3041JAAXX.6.srf,,314,PAIRED,,0,,,1426124,108385424,low coverage
data/NA18486/sequence_read/SRR011041_1.filt.fastq.gz,f8db37fde6da1592dab84eec08be3765,SRR011041,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX002288,ILLUMINA,Illumina Genome Analyzer II,Solexa-5072,BI.PE.080721_SL-XAS_0005_FC3041JAAXX.080726_SL-XAS_0001_FC3041JAAXX.6.srf,,314,PAIRED,data/NA18486/sequence_read/SRR011041_2.filt.fastq.gz,0,,,11713925,890258300,low coverage
data/NA18486/sequence_read/SRR011041_2.filt.fastq.gz,a81b1c27d4a00a53c8f6b6088f2ce3b3,SRR011041,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX002288,ILLUMINA,Illumina Genome Analyzer II,Solexa-5072,BI.PE.080721_SL-XAS_0005_FC3041JAAXX.080726_SL-XAS_0001_FC3041JAAXX.6.srf,,314,PAIRED,data/NA18486/sequence_read/SRR011041_1.filt.fastq.gz,0,,,11713925,890258300,low coverage
data/NA18486/sequence_read/SRR011042.filt.fastq.gz,e160368ca2f3ac676533c24b1926525a,SRR011042,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX002288,ILLUMINA,Illumina Genome Analyzer II,Solexa-5072,BI.PE.080721_SL-XAS_0005_FC3041JAAXX.080726_SL-XAS_0001_FC3041JAAXX.7.srf,,314,PAIRED,,0,,,1244721,94598796,low coverage
data/NA18486/sequence_read/SRR011042_1.filt.fastq.gz,bcde88d672cbc425b8643f42d8491a10,SRR011042,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX002288,ILLUMINA,Illumina Genome Analyzer II,Solexa-5072,BI.PE.080721_SL-XAS_0005_FC3041JAAXX.080726_SL-XAS_0001_FC3041JAAXX.7.srf,,314,PAIRED,data/NA18486/sequence_read/SRR011042_2.filt.fastq.gz,0,,,11868070,901973320,low coverage
data/NA18486/sequence_read/SRR011042_2.filt.fastq.gz,798f399ca92beabb4be88c2817118ca2,SRR011042,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX002288,ILLUMINA,Illumina Genome Analyzer II,Solexa-5072,BI.PE.080721_SL-XAS_0005_FC3041JAAXX.080726_SL-XAS_0001_FC3041JAAXX.7.srf,,314,PAIRED,data/NA18486/sequence_read/SRR011042_1.filt.fastq.gz,0,,,11868070,901973320,low coverage
data/NA18486/sequence_read/SRR011043.filt.fastq.gz,41d2f3b17e7149136720f9d9842c4aa4,SRR011043,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX002288,ILLUMINA,Illumina Genome Analyzer II,Solexa-5072,BI.PE.080721_SL-XAS_0005_FC3041JAAXX.080726_SL-XAS_0001_FC3041JAAXX.8.srf,,314,PAIRED,,0,,,1327686,100904136,low coverage
data/NA18486/sequence_read/SRR011043_1.filt.fastq.gz,3b5b97876084f2776064971143a60d0c,SRR011043,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX002288,ILLUMINA,Illumina Genome Analyzer II,Solexa-5072,BI.PE.080721_SL-XAS_0005_FC3041JAAXX.080726_SL-XAS_0001_FC3041JAAXX.8.srf,,314,PAIRED,data/NA18486/sequence_read/SRR011043_2.filt.fastq.gz,0,,,11845972,900293872,low coverage
data/NA18486/sequence_read/SRR011043_2.filt.fastq.gz,e35d5c104cf2ad9ce56cecc13ee2c18d,SRR011043,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX002288,ILLUMINA,Illumina Genome Analyzer II,Solexa-5072,BI.PE.080721_SL-XAS_0005_FC3041JAAXX.080726_SL-XAS_0001_FC3041JAAXX.8.srf,,314,PAIRED,data/NA18486/sequence_read/SRR011043_1.filt.fastq.gz,0,,,11845972,900293872,low coverage
data/NA18486/sequence_read/SRR020480.filt.fastq.gz,8627230c47b93838122f35e6cd4a99e7,SRR020480,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX007367,ILLUMINA,Illumina Genome Analyzer II,Solexa-5114,BI.PE.090717_SL-XAR_0001_FC429LLAAXX.7.srf,,323,PAIRED,,0,,,787116,59820816,low coverage
data/NA18486/sequence_read/SRR020480_1.filt.fastq.gz,173c2a8a520c577bdc1b8acb8bd865cd,SRR020480,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX007367,ILLUMINA,Illumina Genome Analyzer II,Solexa-5114,BI.PE.090717_SL-XAR_0001_FC429LLAAXX.7.srf,,323,PAIRED,data/NA18486/sequence_read/SRR020480_2.filt.fastq.gz,0,,,8585517,652499292,low coverage
data/NA18486/sequence_read/SRR020480_2.filt.fastq.gz,c92d1441bd5b65991ea34d80a22e6312,SRR020480,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX007367,ILLUMINA,Illumina Genome Analyzer II,Solexa-5114,BI.PE.090717_SL-XAR_0001_FC429LLAAXX.7.srf,,323,PAIRED,data/NA18486/sequence_read/SRR020480_1.filt.fastq.gz,0,,,8585517,652499292,low coverage
data/NA18486/sequence_read/SRR020481.filt.fastq.gz,931222089137b7411d274eeef7ffcdce,SRR020481,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX007367,ILLUMINA,Illumina Genome Analyzer II,Solexa-5114,BI.PE.090717_SL-XAR_0001_FC429LLAAXX.8.srf,,323,PAIRED,,0,,,504196,38318896,low coverage
data/NA18486/sequence_read/SRR020481_1.filt.fastq.gz,0ad26a55074aa90487f018b7daa7478a,SRR020481,SRP000031,1000Genomes Project Pilot 1,BI,SRA007839,3/25/2008 0:00,SRS000093,NA18486,YRI,SRX007367,ILLUMINA,Illumina Genome Analyzer II,Solexa-5114,BI.PE.090717_SL-XAR_0001_FC429LLAAXX.8.srf,,323,PAIRED,data/NA18486/sequence_read/SRR020481_2.filt.fastq.gz,0,,,8204475,623540100,low coverage
